cité Voltaire;11
rue Voltaire;11
avenue Ledru-Rollin;11
avenue Ledru-Rollin;12
rue Abel;12
rue d'Aligre;12
place d'Aligre;12
rue Allard;12
rue de l'Ambroisie;12
route des Barrières;12
rue de Bercy;12
allée de Bercy;12
rue Biscornet;12
route de la Dame Blanche;12
square Paul Blanchet;12
rue Charles Bossut;12
rue de Chablis;12
passage du Chantier;12
avenue de la Porte de Charenton;12
route des Chênes;12
chemin du Cimetière;12
voie CQ/12;12
voie CV/12;12
voie BC/14;14
voie BE/14;14
rue Broussais;14
rue Cabanis;14
rue des Camélias;14
rue Cassini;14
avenue de la Porte de Châtillon;14
rue du Père Corentin;14
rue de Coulmiers;14
avenue Paul Vaillant-Couturier;14
avenue Maurice D'Ocagne;14
avenue de la Porte d'Orléans;14
passage Dareau;14
square Henri Delormel;14
rue Émile Dubois;14
rue Rémy Dumoncel;14
rue Mouton-Duvernet;14
rue Bernard Tétu;19
rue Adolphe Focillon;14
square Alain-Fournier;14
rue Friant;14
rue Charles Le Goffic;14
rue Jules Guesde;14
rue Hallé;14
rue Jacquier;14
rue Joanès;14
place de l'Abbé Jean Lebeuf;14
villa Léone;14
square André Lichtenberger;14
rue Hippolyte Maindron;14
avenue du Général Maistre;14
rue Marguerin;14
avenue Pierre Masse;14
rue Émile Deutsch de La Meurthe;14
rue Auguste Mie;14
rue Montbrun;14
rue du Parc de Montsouris;14
rue Morère;14
avenue Jean Moulin;14
villa d'Orléans;14
rue Pauly;14
rue Eugène Pelletan;14
rue Pernety;14
villa des Plantes;14
rue Poinsot;14
rue Francis De Pressensé;14
square Auguste Renoir;14
avenue André Rivoire;14
avenue Rockefeller;14
allée Rodenbach;14
rue Pierre Le Roy;14
avenue Marc Sangnier;14
place de l'Île de Sein;14
rue du Texel;14
avenue de la Porte de Vanves;14
impasse du Moulin Vert;14
rue du Professeur Hyacinthe Vincent;14
rue Jean Zay;14
place des Cinq Martyrs du Lycée Buffon;14
place des Cinq Martyrs du Lycée Buffon;15
voie AA/19;19
boulevard d'Algérie;19
impasse des Anglais;19
rue des Annelets;19
voie BR/14;14
voie AO/19;19
voie AP/19;19
cours du Septième Art;19
passage de l'Atlas;19
avenue du Belvédère;19
sente à Bigot;19
place de Bitche;19
voie BL/19;19
villa des Boers;19
square des Bouleaux;19
voie BT/19;19
rue Burnouf;19
allée des Cardinoux;19
rue Cavendish;19
villa des Buttes Chaumont;19
avenue de la Porte Chaumont;19
rue de la Clôture;19
place du Général Cochet;19
voie CR/19;19
voie CU/19;19
voie CY/19;19
rue David d'Angers;19
allée Gabrielle D'Estrées;19
rue Dampierre;19
villa du Danube;19
voie DB/19;19
avenue Debidour;19
voie DH/19;19
rue Marie-Andrée Lagroua Weill-Hallé;13
allée des Eiders;19
rue de l'Encheval;19
passage de Flandre;19
villa Fleurie;19
allée de Fontainebleau;19
quai de la Gironde;19
passage Goix;19
rue d'Amsterdam;8
rue d'Amsterdam;9
place du Havre;8
place du Havre;9
rue Vignon;8
rue Vignon;9
rue Galilée;8
rue Galilée;16
avenue Pierre Ier de Serbie;8
avenue Pierre Ier de Serbie;16
place de la République Dominicaine;8
place de la République Dominicaine;17
passage du Souvenir;8
passage du Souvenir;17
rue de Tilsitt;8
rue de Tilsitt;17
place du Onze Novembre 1918;10
rue Alibert;10
rue Bichat;10
cité de Chabrol;10
impasse Chausson;10
rue Civiale;10
rue du Château D'Eau;10
boulevard de Denain;10
place Robert Desnos;10
rue Arthur Groussier;10
quai de Jemmapes;10
rue Léon Jouhaux;10
rue de Lancry;10
rue Gabriel Laumain;10
passage de la Ferme Saint-Lazare;10
place Franz Liszt;10
passage du Buisson Saint-Louis;10
rue de l'Hôpital Saint-Louis;10
cité de Magenta;10
place Sainte-Marthe;10
